Scientific Name,Species Name,BC List,COSEWIC,Carp Lake,Crooked,Nation,Parsnip Arm,Parsnip,Peace Arm,Upper Peace
Oncorhynchus nerka,Kokanee,Yellow,NA,NA,NA,Yes,Yes,Yes,Yes,Yes
Osmerus dentex,Rainbow Smelt,Unknown,NA,NA,NA,Yes,NA,Yes,NA,NA
Perca flavescens,Yellow Perch,Unknown,NA,NA,NA,NA,NA,NA,NA,Yes
Percopsis omiscomaycus,Trout-perch,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Platygobio gracilis,Flathead Chub,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Prosopium coulterii,Pygmy Whitefish,Yellow,NAR (Nov 2016),NA,NA,Yes,Yes,Yes,Yes,Yes
Prosopium cylindraceum,Round Whitefish,Yellow,NA,NA,NA,NA,NA,Yes,NA,NA
Prosopium williamsoni,Mountain Whitefish,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Ptychocheilus oregonensis,Northern Pikeminnow,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Rhinichthys cataractae,Longnose Dace,Yellow,NA,NA,Yes,Yes,Yes,Yes,NA,Yes
Rhinichthys falcatus,Leopard Dace,Yellow,NAR (May 1990),NA,NA,NA,NA,NA,NA,Yes
Richardsonius balteatus,Redside Shiner,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Salvelinus confluentus,Bull Trout,Blue,SC (Nov 2012),Yes,Yes,Yes,Yes,Yes,Yes,Yes
Salvelinus fontinalis,Brook Trout,Exotic,NA,NA,Yes,NA,Yes,Yes,NA,Yes
Salvelinus malma,Dolly Varden,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Salvelinus namaycush,Lake Trout,Yellow,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sander vitreus,Walleye,Yellow,NA,NA,NA,NA,NA,NA,NA,Yes
Thymallus arcticus,Arctic Grayling,Yellow,NA,NA,NA,Yes,Yes,Yes,Yes,Yes
NA,Chub (General),NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA
NA,Dace (General),NA,NA,NA,NA,NA,Yes,Yes,NA,Yes
NA,Lamprey (General),NA,NA,NA,NA,Yes,NA,NA,NA,NA
NA,Minnow (General),NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes
NA,Northern Pearl Dace,NA,NA,NA,NA,NA,NA,NA,NA,Yes
NA,Salmon (General),NA,NA,NA,NA,Yes,NA,NA,NA,NA
NA,Sculpin (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NA,Smelt (General),NA,NA,NA,NA,NA,Yes,NA,NA,NA
NA,Squanga,NA,NA,NA,Yes,NA,NA,NA,NA,NA
NA,Sucker (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NA,Whitefish (General),NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes
